"filename", "language", "Markdown", "JavaScript", "JSON", "Less", "JavaScript React", "CSS", "JSON with Comments", "Python", "XML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\pages.js", "JavaScript", 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, -1, -71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\pwa.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\settingDrawer.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, -1, -32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\settings.js", "JavaScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -1, -61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR.js", "JavaScript", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\pages.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, 0, 0, 0, -1, -68
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\pwa.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\settingDrawer.js", "JavaScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -1, -33
